year,GFDD.SI.01,GFDD.SI.02,GFDD.SI.04,GFDD.SI.06,GFDD.EI.01,GFDD.EI.05,GFDD.EI.06,GFDD.DI.01,GFDD.DI.05,GFDD.DI.12,FB.AST.NPER.ZS,FD.AST.PRVT.GD.ZS,FM.LBL.BMNY.GD.ZS,NY.GDP.MKTP.KD.ZG,FP.CPI.TOTL.ZG,NY.GDP.PCAP.CD,SP.POP.TOTL,GC.DOD.TOTL.GD.ZS,BX.KLT.DINV.WD.GD.ZS,FS.AST.PRVT.GD.ZS
2014,19.79133,2.0246867,61.87344,31.70959,3.436024,1.269359,12.22298,37.57837,68.53046,37.57837,2.02468665436274,37.5782780830737,68.5701974632999,6.34798748260867,3.59782343864211,2866.83803761407,103767130,43.426338941462,1.92937522802216,37.5782838049623
2013,19.7629,2.4408645,57.6507,38.87945,3.238279,1.500033,13.44438,34.33572,66.83659,34.33572,2.44086452225224,34.3357216361163,66.8366025320504,6.75053130142255,2.58268766141795,2781.27957677397,102076336,47.1441818576352,1.31642638378197,34.3357279070115
2012,23.33885,2.2228948,65.005,33.46077,3.501565,1.648518,13.88743,31.90532,56.3049,31.90532,2.20068041783046,31.9053651847095,56.3049908825962,6.89695171050985,3.02696391124796,2614.61644401308,100175512,49.1574552067049,1.22763000703119,31.9053759841345
2011,21.59678,2.5554577,60.85786,32.74436,3.724693,1.399732,12.81753,30.4975,57.38415,30.4975,2.52887904557003,30.497627976186,57.3844126029505,3.85823282795663,4.7184170471842,2383.91892522087,98248614,48.8058481254572,0.856963002985963,30.497639750655
2010,19.79657,3.3807434,55.32231,29.41231,4.079188,1.405755,14.01932,28.33251,58.81291,28.33251,3.34951747323682,28.3324661028013,58.8129288699865,7.33449996034538,3.78983634797591,2162.91375885614,96337125,50.1962414764938,0.513698049517659,28.3324788107778
2009,18.24859,3.5,53.47214,25.08533,3.901176,1.136082,12.053,27.8967,59.41169,27.8967,3.46095790428879,27.8966541790801,59.4116189042727,1.44832306275669,4.21903052064628,1864.45043406471,94384250,52.4006931344165,1.17324821246427,27.8966684153138
2019,30.40521,1.3064222,105.0424,29.8941,1.516099,1.099621,11.67927,120.0304,123.8486,122.9114,1.30642223339991,119.467541690019,123.267836499823,1.30804118153127,0.567829988405447,65952.0378959293,5703569,128.07809248235,28.3315504321637,119.467541690019
2018,30.09148,1.3095179,107.4157,30.46407,1.426419,1.073781,11.31425,118.0666,118.8467,120.6633,1.30951785160199,117.705383912056,118.483102254992,3.4519759658687,0.438784215129623,66881.6067035265,5638676,110.689756336151,22.1183772606386,117.705383912056
2017,30.39888,1.4002009,106.6472,23.66531,1.453932,0.9365519,9.549077,120.9561,122.3473,123.6589,1.40020092664899,120.835774929407,122.225551431971,4.47689915845876,0.576763191179996,61236.251270627,5612253,109.197026214998,29.6706126230568,120.835774929407
2016,31.47979,1.2225331,104.1535,21.28599,1.389434,0.886646,8.909759,123.8292,127.6394,126.6758,1.22253307180161,123.483066251546,127.282604437482,3.74757848792792,-0.529809760375464,57005.5887176547,5607283,108.854265915138,20.3766287562495,123.483066251546
